"filename", "language", "Python", "comment", "blank", "total"
"/home/viweber/git/Pacman/src/__init__.py", "Python", 2, 1, 2, 5
"/home/viweber/git/Pacman/src/cheat/__init__.py", "Python", 0, 1, 1, 2
"/home/viweber/git/Pacman/src/cheat/cheat_mode.py", "Python", 38, 17, 11, 66
"/home/viweber/git/Pacman/src/config/__init__.py", "Python", 0, 1, 1, 2
"/home/viweber/git/Pacman/src/config/config_loader.py", "Python", 29, 32, 12, 73
"/home/viweber/git/Pacman/src/config/config_validator.py", "Python", 89, 33, 21, 143
"/home/viweber/git/Pacman/src/entities/__init__.py", "Python", 5, 1, 3, 9
"/home/viweber/git/Pacman/src/entities/ai/__init__.py", "Python", 3, 1, 3, 7
"/home/viweber/git/Pacman/src/entities/ai/ghost_behavior.py", "Python", 65, 6, 13, 84
"/home/viweber/git/Pacman/src/entities/ai/pathfinding.py", "Python", 25, 4, 11, 40
"/home/viweber/git/Pacman/src/entities/entity.py", "Python", 17, 5, 10, 32
"/home/viweber/git/Pacman/src/entities/ghost.py", "Python", 54, 8, 16, 78
"/home/viweber/git/Pacman/src/entities/pacman.py", "Python", 19, 5, 9, 33
"/home/viweber/git/Pacman/src/entities/pellet.py", "Python", 21, 4, 8, 33
"/home/viweber/git/Pacman/src/game/__init__.py", "Python", 0, 1, 1, 2
"/home/viweber/git/Pacman/src/game/collision.py", "Python", 24, 4, 8, 36
"/home/viweber/git/Pacman/src/game/game_loop.py", "Python", 58, 10, 23, 91
"/home/viweber/git/Pacman/src/game/game_manager.py", "Python", 303, 18, 56, 377
"/home/viweber/git/Pacman/src/game/game_state.py", "Python", 127, 25, 31, 183
"/home/viweber/git/Pacman/src/game/level_manager.py", "Python", 72, 6, 17, 95
"/home/viweber/git/Pacman/src/highscore/__init__.py", "Python", 2, 1, 3, 6
"/home/viweber/git/Pacman/src/highscore/highscore_manager.py", "Python", 101, 9, 29, 139
"/home/viweber/git/Pacman/src/input/__init__.py", "Python", 3, 1, 3, 7
"/home/viweber/git/Pacman/src/input/input_handler.py", "Python", 45, 9, 13, 67
"/home/viweber/git/Pacman/src/input/key_bindings.py", "Python", 26, 2, 8, 36
"/home/viweber/git/Pacman/src/maze/__init__.py", "Python", 4, 1, 3, 8
"/home/viweber/git/Pacman/src/maze/maze.py", "Python", 37, 6, 11, 54
"/home/viweber/git/Pacman/src/maze/maze_generator.py", "Python", 157, 16, 26, 199
"/home/viweber/git/Pacman/src/maze/tile.py", "Python", 7, 2, 5, 14
"/home/viweber/git/Pacman/src/ui/__init__.py", "Python", 4, 1, 3, 8
"/home/viweber/git/Pacman/src/ui/colors.py", "Python", 14, 1, 3, 18
"/home/viweber/git/Pacman/src/ui/renderer.py", "Python", 139, 12, 19, 170
"/home/viweber/git/Pacman/src/ui/scenes/__init__.py", "Python", 4, 1, 3, 8
"/home/viweber/git/Pacman/src/ui/scenes/game_over.py", "Python", 54, 9, 18, 81
"/home/viweber/git/Pacman/src/ui/scenes/game_scene.py", "Python", 297, 15, 35, 347
"/home/viweber/git/Pacman/src/ui/scenes/highscores.py", "Python", 27, 8, 14, 49
"/home/viweber/git/Pacman/src/ui/scenes/instructions.py", "Python", 26, 7, 10, 43
"/home/viweber/git/Pacman/src/ui/scenes/main_menu.py", "Python", 35, 7, 12, 54
"/home/viweber/git/Pacman/src/ui/scenes/pause_menu.py", "Python", 30, 7, 12, 49
"/home/viweber/git/Pacman/src/ui/scenes/scene.py", "Python", 19, 7, 11, 37
"/home/viweber/git/Pacman/src/ui/ui_manager.py", "Python", 45, 7, 12, 64
"/home/viweber/git/Pacman/src/utils/__init__.py", "Python", 0, 1, 1, 2
"/home/viweber/git/Pacman/src/utils/constants.py", "Python", 58, 32, 32, 122
"/home/viweber/git/Pacman/src/utils/exceptions.py", "Python", 14, 8, 22, 44
"/home/viweber/git/Pacman/src/utils/logger.py", "Python", 48, 26, 16, 90
"/home/viweber/git/Pacman/src/utils/types.py", "Python", 3, 3, 4, 10
"Total", "-", 2150, 382, 585, 3117
